Order,Newly recorded species,Papers,Proportion of new records (%),Proportion of order in China pool (%),Wilson 95% CI lower (%),Wilson 95% CI upper (%),Total records
Passeriformes,308,339,49.4,35.8,32.7,39.1,504
Charadriiformes,71,118,15.0,50.0,41.9,58.1,153
Anseriformes,32,64,6.5,55.2,42.5,67.3,66
Accipitriformes,29,59,6.3,52.7,39.8,65.3,64
Pelecaniformes,21,41,4.1,60.0,43.6,74.4,42
Gruiformes,16,30,3.1,55.2,37.5,71.6,32
Columbiformes,11,18,2.0,32.4,19.1,49.2,20
Strigiformes,11,18,1.8,34.4,20.4,51.7,18
Coraciiformes,9,15,1.6,39.1,22.2,59.2,16
Suliformes,7,15,1.5,53.8,29.1,76.8,15
Cuculiformes,6,12,1.4,30.0,14.5,51.9,14
Phoenicopteriformes,1,13,1.3,100.0,20.7,100.0,13
Ciconiiformes,5,11,1.1,71.4,35.9,91.8,11
Piciformes,8,11,1.1,18.6,9.7,32.6,11
Galliformes,9,10,1.0,14.1,7.6,24.6,10
Procellariiformes,6,9,0.9,31.6,15.4,54.0,9
Gaviiformes,4,9,0.9,100.0,51.0,100.0,9
Podicipediformes,3,5,0.5,60.0,23.1,88.2,5
Caprimulgiformes,3,3,0.3,13.6,4.7,33.3,3
Falconiformes,2,2,0.2,16.7,4.7,44.8,2
Pterocliformes,1,1,0.1,33.3,6.1,79.2,1
Otidiformes,1,1,0.1,33.3,6.1,79.2,1
Trogoniformes,1,1,0.1,33.3,6.1,79.2,1
